,rating,title,credit,box,year,actor
174,92,Dunkirk,Farrier,188.1,2017,Tom Hardy
175,77,London Road,Mark the Taxi Driver,,2016,Tom Hardy
176,79,The Revenant,John Fitzgerald,,2015,Tom Hardy
177,61,Legend,"Ronald Kray/Reginald Kray
                                    
                                            Executive Producer",14.2,2015,Tom Hardy
178,97,Mad Max: Fury Road,Max Rockatansky,129.5,2015,Tom Hardy
179,25,Child 44,Leo Demidov,1.4,2015,Tom Hardy
180,,Splinter Cell,Sam Fisher,,2015,Tom Hardy
181,89,The Drop,Bob Saginowski,8.8,2014,Tom Hardy
182,91,Locke,Ivan Locke,1.4,2014,Tom Hardy
183,67,Lawless,Forrest Bondurant,36.4,2012,Tom Hardy
184,87,The Dark Knight Rises,Bane,448.2,2012,Tom Hardy
185,25,This Means War,Tuck,54.8,2012,Tom Hardy
186,83,Tinker Tailor Soldier Spy,Ricki Tarr,20.2,2011,Tom Hardy
187,83,Warrior,Tommy Conlon,13.7,2011,Tom Hardy
188,100,From The Ashes,Narrator,,2011,Tom Hardy
189,86,Inception,Eames,292.6,2010,Tom Hardy
190,,The Devil Within,Director,,2010,Tom Hardy
191,76,Bronson,Michael Peterson/Charles Bronson,0.1,2009,Tom Hardy
192,,Wuthering Heights,Heathcliff,,2009,Tom Hardy
193,,Take,Freddie Jackson,,2009,Tom Hardy
194,59,RocknRolla,Handsome Bob,5.7,2008,Tom Hardy
195,,Sucker Punch,Rodders,,2008,Tom Hardy
196,,Oliver Twist,Actor,,2007,Tom Hardy
197,,The Inheritance,Actor,,2007,Tom Hardy
198,,Stuart: A Life Backwards,Actor,,2007,Tom Hardy
199,,Flood,Zak,,2007,Tom Hardy
200,40,Scenes of a Sexual Nature,Actor,,2006,Tom Hardy
201,54,Marie Antoinette,Raumont,1.6,2006,Tom Hardy
202,,Minotaur,Theo,,2006,Tom Hardy
203,,Sweeney Todd,Matthew Payne,,2006,Tom Hardy
204,,A for Andromeda,Actor,,2006,Tom Hardy
205,71,w Delta z,Pierre Jackson,,2006,Tom Hardy
206,,Gideon's Daughter,Andrew,,2005,Tom Hardy
207,80,Layer Cake,Clarkie,2.3,2005,Tom Hardy
208,,Colditz,Jack Rose,,2005,Tom Hardy
209,39,The Reckoning,Straw,,2004,Tom Hardy
210,,EMR,Actor,,2004,Tom Hardy
211,,LD 50 Lethal Dose,Matt,,2003,Tom Hardy
212,25,Dot the I,Tom,,2003,Tom Hardy
213,38,Star Trek - Nemesis,Praetor Shinzon,43.1,2002,Tom Hardy
214,,Deserter,Actor,,2002,Tom Hardy
215,76,Black Hawk Down,Twombly,108.6,2001,Tom Hardy
216,,The Immortal Wars,Actor,,2018,Tom Sizemore
217,,The Immortal Wars,Bloodshed,,2018,Tom Sizemore
218,,Black Wake,Detective Michaels,,2018,Tom Sizemore
219,,The Second Coming of Christ,Actor,,2018,Tom Sizemore
220,36,Mark Felt: The Man Who Brought Down the White House,Bill Sullivan,0.8,2017,Tom Sizemore
221,20,Atomica (Deep Burial),Dr. Zek,,2017,Tom Sizemore
222,,The Bronx Bull,Tony,,2017,Tom Sizemore
223,,The Slider,Nurse,,2017,Tom Sizemore
224,,Secrets of Deception,Eddie Green,,2017,Tom Sizemore
225,,Adrenochrome (Misirlou),Actor,,2017,Tom Sizemore
226,,Bad Frank,Mickey Duro,,2017,Tom Sizemore
227,,Joe's War,Actor,,2017,Tom Sizemore
228,,Collar,Police Chief Hamilton Markham,,2017,Tom Sizemore
